id,priority,phase,area,labels,project_progress,title,description,acceptance_criteria,test_mcp,test_plan,test_steps,test_dependencies,test_evidence,test_risk,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"AG-300","P0","0","both","已完成","已完成","统一事实真源与历史边界","将 v3 的事实基线要求落到 current-state audit、历史文档边界和 architecture 同步清单，停止把旧结论继续当作当前现状。","1) current-state-audit 被明确为当前事实真源; 2) v1/v2 与旧 conditional-go 文档保留日期和适用范围; 3) architecture 文档形成同步清单并可追溯; 4) active plan 与执行清单只指向 v3。","AUTOSERVER","文档一致性扫描 + 路径校验 + 人工审阅。","1. 运行 rg 扫描旧口径与失效引用; 2. 对齐 plan、architecture、roadmap 之间的引用; 3. 记录同步清单; 4. 复查 active/archived 边界。","需可读取 docs/plans、docs/architecture 与旧 roadmap 文档。","docs/architecture/fact-source-boundary.md;docs/architecture/current-state-audit.md;docs/architecture/quick-reference.md;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md","low","不删除历史证据，只澄清边界；active plan 只能保留 v3。","复扫 docs/plans 与 docs/architecture，确认无把 v1/v2 当 active 的引用。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:105;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:32;docs/architecture/current-state-audit.md:23;docs/architecture/fact-source-boundary.md:1","wave=0;test_plan_inferred;done_at=2026-04-10;evidence=docs/architecture/fact-source-boundary.md|docs/architecture/current-state-audit.md|tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md"
"QG-300","P0","0","both","已完成","已完成","版本化质量门禁入口","把 build/test/concurrency/shared/notification 扫描收敛成仓库内可复现、可 review 的统一门禁入口，不预设具体 CI 平台。","1) 仓库内存在 provider-neutral 的门禁入口；2) 覆盖 swift build、swift test、strict concurrency、shared/notification 扫描；3) 失败类型可区分为构建、测试、并发、环境失败；4) 最小复现路径与日志位置有文档说明。","AUTOSERVER","脚本/命令入口验证 + 文档映射 + 一次完整本地复跑。","1. 实现统一入口或明确入口文档; 2. 运行统一入口; 3. 校对失败输出分类; 4. 记录本地复现路径与日志位置。","需要本地 Swift 构建环境、Tests/run-concurrency-check.sh 与 rg 可执行。","scripts/verify/run-architecture-quality-gate.sh;docs/architecture/quality-gate.md;verify/quality-gate/20260409T192434Z/summary.md","medium","保持 provider-neutral，不把门禁设计绑死到单一 CI 平台。","复跑统一入口，确认输出可区分、命令可复制、路径可追溯。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:115;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:434;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:39;Tests/run-concurrency-check.sh:1;docs/architecture/quality-gate.md:1;scripts/verify/run-architecture-quality-gate.sh:1","wave=0;ci_provider_tbd;test_plan_inferred;done_at=2026-04-10;evidence=scripts/verify/run-architecture-quality-gate.sh|docs/architecture/quality-gate.md|verify/quality-gate/20260409T192434Z/summary.md"
"LIFE-310","P0","1","both","已完成","已完成","P1 生命周期 inventory 与 cleanup ownership","围绕 AppDelegate 与 5 个热点对象建立 lifecycle/register/cleanup inventory，先锁定 ownership，再进入 UI 试点与 orchestrator 瘦身。","1) 每个 P1 inventory 项都有 owner、register point、cleanup point；2) ownership unknown = 0，或标记 deferred + reason + residual risk；3) 能回答重复 start/stop、窗口关闭、应用退出时谁清理；4) inventory 与 cleanup 矩阵可从 active plan 回跳。","AUTOSERVER","目标链路审计 + 构建校验 + 生命周期回归设计。","1. 枚举六个热点对象的注册与清理点; 2. 输出 ownership/cleanup 矩阵; 3. 标记 deferred 项及残余风险; 4. 跑 build/test 确认改动未破坏主链。","需要可访问热点对象源码与启动/退出链。","docs/architecture/p1-lifecycle-inventory.md","medium","先产出事实 inventory，不把这一轮扩成全面重构提案。","复核 AppDelegate 与全部 P1 inventory 项，确认“谁注册、谁清理、在哪清理”都能直接回答。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:145;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:48;App/AppDelegate.swift:93;Services/RecordingController.swift:154;Services/QuickAskService.swift:157;Services/MessagePanelManager.swift:73;Core/LiveCaption/LiveCaptionManager.swift:217;Core/Screenshot/ScreenshotManager.swift:101;docs/architecture/p1-lifecycle-inventory.md:1","wave=1;depends_on=AG-300,QG-300;test_plan_inferred;done_at=2026-04-10;evidence=docs/architecture/p1-lifecycle-inventory.md"
"RULE-320","P1","1","both","已完成","已完成","最小规则包","把依赖通道、广播禁区、运行时状态与持久化状态的最小规则包写成可执行约束，而不是抽象原则。","1) 能明确回答新协作者能否直接 .shared；2) 能明确回答新业务事件能否直接 NotificationCenter；3) 能明确回答新状态能否落现有存储；4) 规则可被 quick-reference 或 review checklist 直接引用。","AUTOSERVER","规则文档审查 + 差量样例演练 + 路径回查。","1. 基于 P1 inventory 汇总现有通道与状态落点; 2. 写出最小规则包; 3. 用一个差量场景演练三类判断; 4. 回链到 active plan 与 quick-reference。","依赖 LIFE-310 的 ownership/cleanup 事实基线。","docs/architecture/minimal-rule-pack.md;docs/architecture/quick-reference.md","medium","规则必须能约束新抽取对象，不写无法执行的抽象口号。","复测三类判断题，确认结论稳定且可被后续 review 直接引用。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:164;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:369;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:56;docs/architecture/quick-reference.md:241;docs/architecture/minimal-rule-pack.md:1","wave=1;depends_on=LIFE-310;test_plan_inferred;done_at=2026-04-10;evidence=docs/architecture/minimal-rule-pack.md|docs/architecture/quick-reference.md"
"UI-330","P1","2.0","frontend","已完成","已完成","Coverage Matrix 与 Guardrail Samples","为前台交互面建立 coverage matrix，并把 MessagePanelView、QuickAskCapsuleView 固定为回归守门样本。","1) coverage matrix 覆盖 MessagePanel、Quick Ask answer path、Screenshot full interaction unit、LiveCaption、SelectionToolbar、Settings；2) MessagePanelView 与 QuickAskCapsuleView 各有至少 1 条 repo-owned guardrail smoke；3) UI 层 net-new .shared = 0；4) proof map 能回到具体 preview/fixture/smoke 载体。","AUTOFRONTEND","Preview/fixture 编译校验 + smoke 验证 + UI shared 差量扫描。","1. 列出前台交互覆盖矩阵与 proof 形式; 2. 为 MessagePanelView、QuickAskCapsuleView 补 guardrail smoke; 3. 运行 UI shared 扫描; 4. 记录 proof map。","需要 UI 目标可编译，且能运行最小 smoke。","docs/architecture/foreground-interaction-coverage-matrix.md;Tests/UITests/SpokenAnyWhereUITests.swift","medium","不要把 guardrail 样本重新升级成主试点，它们只负责回归守门。","复跑 guardrail smoke 与 UI shared 扫描，确认样本持续稳定。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:203;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:64;UI/MessagePanel/MessagePanelView.swift:165;UI/HUD/QuickAskCapsuleView.swift:9;docs/architecture/foreground-interaction-coverage-matrix.md:1;Tests/UITests/SpokenAnyWhereUITests.swift:88;Tests/UITests/SpokenAnyWhereUITests.swift:107","wave=2;depends_on=RULE-320;test_plan_inferred;done_at=2026-04-10;evidence=docs/architecture/foreground-interaction-coverage-matrix.md|Tests/UITests/SpokenAnyWhereUITests.swift"
"UI-340","P0","2.1","frontend","已完成","已完成","Quick Ask Answer Path 主试点","把 Quick Ask 前台试点从胶囊入口提升到 AnswerPanelView 完整 answer path，证明 preview/fixture、interaction smoke 和前台行为一致性。","1) AnswerPanelView 具备可编译 preview 或 fixture；2) 至少 1 条 repo-owned interaction smoke；3) open/close/focus/error/permission 一致性可证明；4) 不新增 UI .shared 直连。","AUTOFRONTEND","Preview/fixture 编译 + interaction smoke + 前台一致性校验。","1. 标出 AnswerPanel 依赖与可替身边界; 2. 建 preview/fixture 或整理现有载体; 3. 跑 interaction smoke; 4. 校验 open/close/focus/error/permission。","需要 Quick Ask answer path 可在本地运行，必要依赖可替身。","Tests/AnswerPanelPilotTests.swift;docs/architecture/answer-panel-pilot-proof-map.md;verify/quality-gate/20260409T194809Z/summary.md","medium","试点范围聚焦 answer path，不回退成只修 QuickAskCapsule 输入面。","每次改 Recording 或 QuickAsk 主链后，复跑 AnswerPanel 的前台行为检查。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:217;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:248;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:73;UI/QuickAsk/AnswerPanelView.swift:21;UI/QuickAsk/AnswerPanelViewLiveDependencies.swift:5;UI/QuickAsk/AnswerPanelManager.swift:107;Tests/AnswerPanelPilotTests.swift:1;docs/architecture/answer-panel-pilot-proof-map.md:1","wave=2;depends_on=UI-330;test_plan_inferred;done_at=2026-04-10;evidence=Tests/AnswerPanelPilotTests.swift|docs/architecture/answer-panel-pilot-proof-map.md|verify/quality-gate/20260409T194809Z/summary.md"
"UI-350","P0","2.2","frontend","已完成","已完成","Screenshot 完整交互链主试点","以 ScreenshotWindow -> ScreenshotContentView -> ActionBar 的完整窗口链做主试点，验证窗口层、内容层与动作层的统一交互合同。","1) 有窗口链 fixture 或 harness，不只覆盖 action extension；2) 至少 1 条 repo-owned interaction smoke；3) 覆盖 save/restore、action dispatch、window interaction、快捷键与 Quick Ask dispatch 的最小行为；4) 不新增 UI .shared 直连。","AUTOFRONTEND","窗口 harness + interaction smoke + 快捷键/浮窗行为校验。","1. 建立或确认 ScreenshotWindow/ScreenshotContentView/ActionBar 的 harness; 2. 跑 save/restore、action dispatch、window interaction、快捷键 smoke; 3. 扫描 UI shared; 4. 记录 proof map。","需要 macOS 开发环境可运行截图窗口链与最小交互 smoke。","Tests/ScreenshotWindowInteractionTests.swift;docs/architecture/screenshot-pilot-proof-map.md;verify/quality-gate/20260409T195619Z/summary.md","medium","不能把主试点缩成只改 ActionBar；必须证明完整窗口链。","复跑 save/restore、hover show-hide、pin-unpin、Quick Ask dispatch、快捷键回归。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:220;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:248;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:452;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:81;UI/Screenshot/ScreenshotWindow.swift:8;UI/Screenshot/ScreenshotContentView.swift:11;UI/Screenshot/ActionBarView.swift:7;Tests/ScreenshotWindowInteractionTests.swift:1;docs/architecture/screenshot-pilot-proof-map.md:1","wave=2;depends_on=UI-330;test_plan_inferred;done_at=2026-04-10;evidence=Tests/ScreenshotWindowInteractionTests.swift|docs/architecture/screenshot-pilot-proof-map.md|verify/quality-gate/20260409T195619Z/summary.md"
"ORCH-360","P1","3.1","both","已完成","已完成","RecordingController 定向瘦身","按 pure decision / context assembly -> runtime bridge -> callback wiring -> main file shrink 的顺序定向瘦身 RecordingController，保持单步可回滚。","1) pure decision、context assembly、runtime bridge、callback wiring 脱离主文件；2) 公开入口保持不变；3) 每一步都能独立 build/test/回滚；4) shared hot path contract 被单列验证。","AUTOSERVER","增量 build/test + shared hot path 回归 + 并发检查。","1. 产出 concern move list 与命名 crosswalk; 2. 每次只抽一组 concern; 3. 每步后运行 build/test/concurrency; 4. 验证 onQuickAskStart/onQuickAskSend/cancel/resetSessionState 等共享热路径。","依赖 Phase 1 规则与 Phase 2 主试点证据已稳定，录音主链可运行。","docs/architecture/recording-controller-concern-move-list.md;docs/architecture/shared-hot-path-contract.md;verify/quality-gate/20260409T200520Z/summary.md","high","不引入新的大而全抽象层；命名必须留在现有家族内；公开入口不得漂移。","复跑 Recording start/stop/post-process 与 shared hot path，确认可回滚 unit 生效。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:265;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:310;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:91;Services/RecordingController.swift:29;Services/RecordingControllerRuntimeHelpers.swift:1;Services/RecordingSessionContextAssembler.swift:1;docs/architecture/recording-controller-concern-move-list.md:1;docs/architecture/shared-hot-path-contract.md:1","wave=3;depends_on=LIFE-310,RULE-320,UI-340;test_plan_inferred;done_at=2026-04-10;evidence=docs/architecture/recording-controller-concern-move-list.md|docs/architecture/shared-hot-path-contract.md|verify/quality-gate/20260409T200520Z/summary.md"
"ORCH-370","P1","3.2","both","已完成","已完成","QuickAskService 定向瘦身","在 3A 经验基础上按 prompt/context assembly -> runtime bridge -> callback wiring -> main file shrink 的顺序瘦身 QuickAskService，保持对外语义稳定。","1) prompt/context assembly、runtime bridge、callback wiring 脱离主文件；2) 公开入口保持不变；3) start/send/cancel/restart/follow-up/shared handoff 最小行为矩阵齐全；4) 每一步都能独立 build/test/回滚。","AUTOSERVER","增量 build/test + Quick Ask 行为矩阵回归 + 并发检查。","1. 产出 concern move list; 2. 按既定顺序抽取 assembler/runtime/callback 协作者; 3. 每步后运行 build/test/concurrency; 4. 验证 start/send/cancel/restart/follow-up/shared handoff。","依赖 ORCH-360 的命名与切分经验已验证，Quick Ask 主链可运行。","docs/architecture/quickask-service-behavior-matrix.md;docs/architecture/shared-hot-path-contract.md;verify/quality-gate/20260409T200520Z/summary.md","high","复用 QuickAskPromptAssembler 语义，不提前重写事件模型或状态模型。","复跑 Quick Ask 最小行为矩阵与前台 AnswerPanel 行为，确认共享交接未回归。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:325;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:356;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:98;Services/QuickAskService.swift:65;Services/QuickAskRuntimeHelpers.swift:1;Core/QuickAsk/QuickAskContextAssembler.swift:1;Tests/QuickAskContextAssemblerTests.swift:1;docs/architecture/quickask-service-behavior-matrix.md:1;docs/architecture/shared-hot-path-contract.md:1","wave=3;depends_on=ORCH-360,UI-340;test_plan_inferred;done_at=2026-04-10;evidence=docs/architecture/quickask-service-behavior-matrix.md|docs/architecture/shared-hot-path-contract.md|verify/quality-gate/20260409T200520Z/summary.md"
"GOV-380","P1","4.0","both","已完成","已完成","依赖通道矩阵 + 状态 Crosswalk + Allowlist","把经前几阶段验证过的规则固化成依赖通道决策矩阵、状态落点 crosswalk 与首批事件 allowlist，约束后续差量行为。","1) 文档能回答新增依赖、事件、状态该走哪条路径；2) UserContent/Settings/Secrets/CapabilityCache/SystemRuntime 均映射到具体落点；3) 新增 NotificationCenter 使用必须落在 allowlist；4) quick-reference 或 review 流程能直接引用这些规则。","AUTOSERVER","规则文档审查 + 差量演练 + shared/notification 扫描复核。","1. 输出依赖通道决策矩阵; 2. 输出状态落点 crosswalk; 3. 点名首批事件 allowlist; 4. 用差量样例或当前热点文件演练一次 review 判断。","依赖前序阶段已有可引用的试点证据与 hot path 合同。","docs/architecture/dependency-channel-decision-matrix.md;docs/architecture/quick-reference.md","medium","规则必须能约束差量行为，而不是只记录现状；allowlist 不能写成模糊集合。","复扫 shared/NotificationCenter 使用并确认文档已成为唯一推荐路径。","已完成","已完成","已完成","未提交","MM","docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:369;docs/plans/2026-04-10-architecture-optimization-roadmap-v3.md:416;tasks/2026-04-10-architecture-optimization-roadmap-v3-execution.md:109;docs/architecture/dependency-channel-decision-matrix.md:1;docs/architecture/quick-reference.md:273","wave=4;depends_on=RULE-320,ORCH-360,ORCH-370;test_plan_inferred;done_at=2026-04-10;evidence=docs/architecture/dependency-channel-decision-matrix.md|docs/architecture/quick-reference.md"
