"id","priority","phase","area","labels","project_progress","title","description","acceptance_criteria","test_mcp","test_plan","test_steps","test_dependencies","test_evidence","test_risk","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"DOC-SYNC-250","P0","inventory","docs","architecture|sync|baseline","待执行","架构文档同步到 round 18-24","当前 architecture 文档基线已同步到 2026-03-23，但正文仍主要覆盖到 round 17 左右；应把 round 18-24 新增的 UI preview/runtime helper、MessagePanelRuntimeHelpers、Attachment/Audio/LiveCaptionManagerRuntimeHelpers 等收敛结果写入 overview/current-state-audit/quick-reference/risks-and-recommendations。","1) 四份主文档提到 round 18-24 的关键收敛；2) 当前测试口径仍保持 `150 tests / 30 suites`；3) 不改写历史文档边界；4) `swift test` 与 strict concurrency 保持通过。","AUTODOCS","文档事实层同步。","1. 盘点 round 18-24 的已提交 helper/manager 收敛；2. 仅更新当前事实基线文档；3. 跑 test/concurrency。","依赖最新提交基线与 docs/architecture 现状。","文档 diff、测试与并发日志。","low","这是事实同步，不是新设计。","复核时间口径、测试基线与新 helper 名称准确。","未开始","未开始","未开始","未提交","","docs/architecture/overview.md:1;docs/architecture/current-state-audit.md:1;docs/architecture/quick-reference.md:1;docs/architecture/risks-and-recommendations.md:1","remaining_real_work"
"LIVECAP-WINDOW-250","P1","inventory","frontend","livecaption|window|runtime","待执行","LiveCaptionWindow 生命周期与通知链收敛","`LiveCaptionWindow.swift` 仍包含窗口 show/hide 的 raw `Task` 与 `NotificationCenter.default.post`，并且依赖多组 `.shared` live wiring。建议将窗口开关、toggle 通知和 manager 启停桥接抽成 helper/runtime 协作者。","1) `show/hide/toggle` 的 raw `Task` 与默认通知分发下降；2) 不影响字幕窗口显隐与快捷键切换；3) full gate 通过。","AUTOSERVER","LiveCaption 窗口路径收口。","1. 抽出 window runtime helper；2. 保持 toggle 语义；3. 跑 build/test/concurrency/AX smoke。","依赖 LiveCaptionManager、TranslationService、SelectionToolbar 现有接口稳定。","window diff、门禁日志。","medium","生产路径真实热点。","复核窗口显隐、toggle 通知和 AX 标识不回归。","未开始","未开始","未开始","未提交","","UI/LiveCaption/LiveCaptionWindow.swift:1","remaining_real_work"
"LIVECAP-SCROLL-260","P1","inventory","frontend","livecaption|scroll|appkit","待执行","AppKitScrollView 滚动观察与追赶时序收敛","`AppKitScrollView.swift` 仍保留 3 处 `NotificationCenter.default`、1 处 `Timer.scheduledTimer` 和 2 处 `DispatchQueue.main.asyncAfter`，属于 LiveCaption 剩余的滚动层基础设施噪音。建议抽出 coordinator runtime helper 或更明确的 scroll sync 策略。","1) 观察者注册/移除与 catch-up 调度更集中；2) 不影响滚动跟随、catch-up 与用户选择文本时的行为；3) AX smoke 与 full gate 通过。","AUTOSERVER","滚动基础设施收口。","1. 识别 observer/timer/asyncAfter 的职责；2. 抽 helper；3. 跑 build/test/concurrency/AX smoke。","依赖 LiveCaption 现有 scroll 语义和 NSView observer 生命周期。","scroll helper diff、门禁日志。","medium","生产路径真实热点。","复核滚动跟随、用户选择暂停滚动、catch-up 时序。","未开始","未开始","未开始","未提交","","UI/LiveCaption/AppKitScrollView.swift:1","remaining_real_work"
"APPCAP-270","P1","inventory","backend","livecaption|capture|retry","待执行","AppAudioCaptureService 重试/回调任务链收敛","`AppAudioCaptureService.swift` 仍有多处 `Task { @MainActor ... }`，主要分布在选择器、重试状态变化和错误回调链。建议把这些 UI/状态回跳统一到 runtime helper，减少 app-picker 生产路径的样板密度。","1) 主线程回跳样板数量下降；2) 不影响重试、reselect、错误回调与 app 名恢复；3) full gate 通过。","AUTOSERVER","应用音频捕获路径收口。","1. 抽 runtime helper；2. 迁移 retry/error/selection callbacks；3. 跑 build/test/concurrency/AX smoke。","依赖 ScreenCaptureKit picker/retry 语义保持不变。","capture diff、门禁日志。","medium","生产路径真实热点。","复核 retry 计数、重连、选择器取消和 app 名恢复。","未开始","未开始","未开始","未提交","","Core/LiveCaption/AppAudioCaptureService.swift:1","remaining_real_work"
"MSGSTATE-250","P1","inventory","backend","messagepanel|state|runtime","待执行","MessagePanelState 剩余状态/持久化副作用收口","`MessagePanelState.swift` 当前仍包含残余 `Task`、`DispatchQueue.main.asyncAfter`、以及成组 live dependencies shared wiring。生产路径已经显著下降，但 state 仍同时承担过滤、持久化、tag observer 与少量 delayed effect。建议再做一轮 state 内部副作用下沉。","1) 剩余 raw `Task` / `asyncAfter` 继续下降；2) 不影响卡片过滤、tag 删除、summary 触发与附件更新；3) full gate 通过。","AUTOSERVER","MessagePanel state 深收口。","1. 标出剩余 Task/asyncAfter；2. 封到 helper 或依赖层；3. 跑 build/test/concurrency/AX smoke。","依赖 MessagePanelManager / SummaryService 当前接口稳定。","state diff、门禁日志。","medium","仍属生产路径真实热点。","复核卡片筛选、tag 删除传播、summary 状态机。","未开始","未开始","未开始","未提交","","Core/MessagePanel/MessagePanelState.swift:1","remaining_real_work"
"SCREENSHOT-MGR-250","P1","inventory","backend","screenshot|manager","待执行","ScreenshotManager 剩余共享依赖与后台任务收口","`ScreenshotManager.swift` 仍有多处 `.shared` 依赖与 `Task.detached`，虽不如先前高风险，但仍是截图生产路径中的重管理器。建议再做一轮 manager-level 依赖和后台任务整理。","1) `.shared` / detached task 数量下降；2) 不影响截图恢复、缓存与增强流程；3) full gate 通过。","AUTOSERVER","Screenshot manager 收口。","1. 盘点 manager 的 shared/task 职责；2. 拆 helper/live dependencies；3. 跑 build/test/concurrency/AX smoke。","依赖现有 ScreenshotContentRuntimeHelpers 和 ScreenshotActionDependencies。","manager diff、门禁日志。","medium","生产路径次高热点。","复核截图恢复、增强缓存与窗口同步。","未开始","未开始","未开始","未提交","","Core/Screenshot/ScreenshotManager.swift:1","remaining_real_work"
"UPSCALER-260","P2","inventory","backend","screenshot|model|async","待执行","ImageUpscalerModelManager 主线程回跳压缩","`ImageUpscalerModelManager.swift` 仍保留多处 `Task { @MainActor ... }`，属于截图增强基础设施层的异步状态更新噪音。适合作为后续小回合处理。","1) 主线程回跳样板数量下降；2) 不影响模型下载、加载与状态上报；3) full gate 通过。","AUTOSERVER","图片增强模型管理异步收口。","1. 归并 main actor task 样板；2. 补 helper；3. 跑 build/test/concurrency。","依赖模型状态更新与下载流程稳定。","manager diff、门禁日志。","low","后续优化项。","复核模型加载、错误状态与 UI 状态展示。","未开始","未开始","未开始","未提交","","Core/Screenshot/ImageUpscalerModelManager.swift:1","remaining_real_work"
"TRANS-260","P2","inventory","backend","transcription|manager","待执行","TranscriptionManager 剩余任务桥接收口","`TranscriptionManager.swift` 还保留少量 `.shared` 依赖与 `Task { @MainActor ... }`。这部分更像稳定后的管理器噪音，但仍可作为后续收口项。","1) 剩余 main-actor task 与 shared wiring 下降；2) 不影响 provider 选择、字典准备与权限请求；3) full gate 通过。","AUTOSERVER","转录管理器异步桥接整理。","1. 识别 remaining task/shared；2. 抽 helper/依赖；3. 跑 build/test/concurrency。","依赖 AudioRecorder/LiveCaption 已完成收敛。","manager diff、门禁日志。","low","后续优化项。","复核 provider 生命周期和字典注入。","未开始","未开始","未开始","未提交","","Core/Transcription/TranscriptionManager.swift:1","remaining_real_work"
"HOTKEY-260","P2","inventory","backend","hotkey|runtime","待执行","HotKeyService / VoiceHandler 延时停止链收口","`HotKeyService.swift` 与 `VoiceHandler.swift` 仍有 delayed stop 的 `Task` / `asyncAfter` 组合，属于热键生产路径尾部样板。建议后续作为一簇处理，而不是零散改。","1) delayed stop 逻辑集中；2) raw `Task` / `asyncAfter` 下降；3) 不影响长按/松开/Quick Ask 触发；4) full gate 通过。","AUTOSERVER","热键尾部运行时样板收口。","1. 统一 delayed stop helper；2. 迁移 HotKeyService/VoiceHandler；3. 跑 build/test/concurrency。","依赖录音控制与快捷键行为稳定。","hotkey diff、门禁日志。","medium","后续真实热点。","复核长按录音、停止时机和 Quick Ask 热键。","未开始","未开始","未开始","未提交","","Services/HotKeyService.swift:1;Services/HotKey/Handlers/VoiceHandler.swift:1","remaining_real_work"
"HISTORY-UI-260","P2","inventory","frontend","settings|history|ui","待执行","HistorySettingsContent UI 异步与 shared 入口收口","`HistorySettingsContent.swift` 仍有 `.shared`、`Task` 与 `asyncAfter`，属于设置页中的剩余 UI 运行时噪音。对生产主链影响较低，但可以纳入后续一致性治理。","1) `.shared` / `Task` / `asyncAfter` 数量下降；2) 不影响历史清理、音频试听和提示文案；3) full gate 通过。","AUTOSERVER","历史设置页异步收口。","1. 归并 shared 与延时提示逻辑；2. 跑 build/test/concurrency。","依赖 HistoryManager 与 AudioPlayerService 行为不变。","settings diff、门禁日志。","low","后续 UI 清洁项。","复核历史清理、导出与音频播放体验。","未开始","未开始","未开始","未提交","","UI/Settings/HistorySettingsContent.swift:1","remaining_real_work"
