"id","priority","phase","area","labels","project_progress","title","description","acceptance_criteria","test_mcp","test_plan","test_steps","test_dependencies","test_evidence","test_risk","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"TASTE-APP-010","P0","0","both","待Review","待Review","启动流水线拆分","将 AppDelegate 的 applicationDidFinishLaunching / applicationWillTerminate 从脚本式硬编码流程收敛为显式 startup pipeline 与 shutdown step 结构，降低隐式级联与后续改动成本。","1) AppDelegate 的启动序列由显式 step 列表或等效声明式结构驱动，而不是长串顺序调用；2) 终止路径对 RecordingController、TrackpadSwipeService、SelectionToolbarManager、ResourceMonitor、DebugAutomationTriggerService 的 stop 归属保持清晰；3) 行为保持等价，不改变现有启动顺序、日志语义和异步恢复/预热路径；4) applicationDidFinishLaunching 与 applicationWillTerminate 的复杂度明显下降，新增步骤不需要复制粘贴 if/Task 样板；5) swift build、swift test、bash Tests/run-concurrency-check.sh 全部通过。","AUTOSERVER","静态重构 + 构建/测试回归 + 启停链路等价验证。","1. 读取 AppDelegate 启动/终止路径并列出一次性 setup 与显式 stop 服务；2. 抽出 startup/shutdown step 结构与统一 runner；3. 将 screenshot、selection toolbar、resource monitor、debug automation 等接入该结构；4. 运行 swift build、swift test、bash Tests/run-concurrency-check.sh；5. 对照启动日志和行为确认无回归。","需要可编译的 AppDelegate、相关服务单例与现有测试脚本；不得回退当前已修复的 debug automation 与 accessibility 标识改动。","AppDelegate diff、构建日志、测试日志、strict concurrency 结果。","medium","不要顺手做全面去单例化；本条只收敛生命周期声明与步骤编排，不改变外部行为。","复核启动顺序、stop 覆盖面与异步任务路径，确认无新增漏停或双启动。","已完成","未开始","未开始","未提交","","App/AppDelegate.swift:43;App/AppDelegate.swift:145;App/AppDelegate.swift:201;App/AppDelegate.swift:288;App/AppDelegate.swift:312;App/AppLifecyclePlan.swift:1;Tests/AppLifecyclePlanTests.swift:1;docs/architecture/app-layer-startup-sequence.md:39","foundational_refactor|round2_app_lifecycle_plan"
"TASTE-SVC-010","P0","0.1","backend","待Review","待Review","HotKey 事件路由重构","拆解 HotKeyService 中 handleEvent 的巨型事件分发器，分离键位匹配、命令解析、状态机切换与动作执行，避免一个函数承担全部快捷键语义。","1) handleEvent 仅负责事件入口、tap 恢复与命令分发，核心分支拆到小函数或命令类型；2) 录音、Quick Ask、Message Panel、Live Caption、Clipboard Pipeline、Screenshot、打开设置等命令保持行为等价；3) 不新增新的全局状态补丁或特殊 case 分支；4) 关键路径至少覆盖 build/test，并针对快捷键状态重置做回归验证。","AUTOSERVER","服务层重构 + 状态机回归 + 构建验证。","1. 识别当前 keyDown/keyUp/flagsChanged 的命令矩阵；2. 提取键位匹配与命令枚举；3. 将执行逻辑拆分为独立小函数；4. 运行 swift build、swift test；5. 手动/日志复核录音与 Quick Ask 主路径。","需要 HotKeyService、RecordingController、QuickAskService 等调用方可编译；若事件 tap 行为依赖权限，至少保证静态与单测层回归。","HotKeyService diff、测试日志、必要的键位行为说明。","medium","不要在本条里重写所有 handler 实现；先把事件入口变得可读、可测、可分派。","复核 keyDown/keyUp/flagsChanged 的录音与 Quick Ask 语义不变，且 resetState 仍生效。","已完成","未开始","未开始","未提交","","Services/HotKeyService.swift:276;Services/HotKeyService.swift:445;Services/RecordingController.swift:161;Services/RecordingTranscriptionDecision.swift:1;Tests/RecordingTranscriptionDecisionTests.swift:1;Services/QuickAskService.swift:140","smell=giant_dispatcher|round2_recording_decision"
"TASTE-SVC-020","P0","0.2","backend","待Review","待Review","SelectionMonitor AX 读取策略化","重构 SelectionMonitorService 的 AX 读取与选中文本定位逻辑，去掉单函数内多层 fallback 迷宫与强制类型转换堆积。","1) getSelectedTextAndBounds 及其子逻辑按策略或辅助函数拆分，主函数不再包含多层嵌套 fallback；2) as! 强转数量下降，AXValue/AXUIElement 转换有显式边界；3) 选中文本获取、bounds 获取、children 递归查找职责分离；4) 不改变当前可用应用上的选中检测结果；5) swift build、swift test、bash Tests/run-concurrency-check.sh 通过。","AUTOSERVER","服务层重构 + 回归验证 + 并发门禁复跑。","1. 列出 SystemWide/Application/Range/Parent/Children 等现有策略；2. 抽离 reader/helper；3. 将 bounds fallback 与 text fallback 分离；4. 运行构建/测试/并发检查；5. 检查日志与调用链无明显退化。","需要 SelectionMonitorService 与 SelectionToolbarManager 调用链可编译；AX 真实交互可作为手动补充，不作为唯一样本。","SelectionMonitorService diff、构建与门禁日志、策略说明。","high","避免把 fallback 数量继续增加；重构目标是减少特殊情况，而不是把同样逻辑换文件继续堆。","复核选中空文本、无焦点元素、递归 children、坐标 fallback 四类路径。","已完成","未开始","未开始","未提交","","Services/SelectionMonitorService.swift:515;Services/SelectionMonitorService.swift:551;Services/SelectionMonitorService.swift:736","smell=ax_fallback_maze"
"TASTE-STATE-010","P0","0.3","both","待Review","待Review","MessagePanelState 去神对象化","拆分 MessagePanelState 中的过滤、分页、标签、持久化和总结副作用，避免一个 ObservableObject 持有整个 MessagePanel 子系统。","1) MessagePanelState 不再同时承担 store、filter、persistence、tag cleanup、summary trigger 全部职责；2) 至少拆出过滤/排序与持久化边界；3) 标签删除、recordType 切换、summary 触发的副作用归属清晰；4) MessagePanel 现有展示行为保持等价；5) swift build、swift test、bash Tests/run-concurrency-check.sh 通过。","AUTOSERVER","状态层重构 + MessagePanel 行为回归 + 构建验证。","1. 盘点 MessagePanelState 的 published state 与副作用方法；2. 抽离 filter/persistence/tag relation 逻辑；3. 保持 UI 读接口稳定或最小变更；4. 运行构建/测试/并发检查；5. 验证卡片添加、过滤、标签切换、清理行为等价。","需要 MessagePanelView、MessagePanelManager、SummaryService、TagLibrary 等调用链可编译。","MessagePanelState diff、回归说明、测试与门禁日志。","high","不要在一轮内顺手重写整个 MessagePanel 模块；优先把最坏的职责边界拆开。","复核 addCard、setRecordType、toggleTagFilter、tagDeleted 监听、save/load 行为。","已完成","未开始","未开始","未提交","","Core/MessagePanel/MessagePanelState.swift:420;Core/MessagePanel/MessagePanelState.swift:456;Core/MessagePanel/MessagePanelState.swift:613;Core/MessagePanel/MessagePanelState.swift:715;Core/MessagePanel/MessagePanelState.swift:798","god_object"
"TASTE-LLM-010","P1","1","both","待Review","待Review","Prompt 结构化建模","将 Quick Ask、LLMPipeline、WorkflowExecutor 中依赖字符串拼接的 prompt 构建收敛为结构化 parts / sections，再统一 render，避免协议边界继续糊成字符串。","1) QuickAsk follow-up、LLMPipeline buildPrompt/buildAppContext/buildCorrectionHints、WorkflowExecutor placeholder 替换至少一组迁移为结构化构建；2) 主路径不再通过 finalPrompt += / systemPrompt += 反复拼接协议内容；3) 输出文本等价或在预期范围内；4) 保持现有 provider 输入接口兼容；5) 通过 build/test/并发检查。","AUTOSERVER","结构重构 + LLM 输入等价检查 + 构建验证。","1. 识别当前 prompt 组成部分；2. 设计结构化 parts 或 section 模型；3. 改写 Quick Ask follow-up、LLMPipeline 或 WorkflowExecutor 至统一 render；4. 运行构建/测试/并发检查；5. 对照日志或 snapshot 确认输出没有明显回退。","需要 QuickAskService、LLMPipeline、WorkflowExecutor 可编译；可接受先在内部 render，暂不改外部 provider API。","核心 diff、示例 prompt 对照、构建与门禁日志。","medium","不要顺手改 provider 网络层；本条只处理 prompt 构建边界。","复核 follow-up、剪贴板上下文、OCR 上下文、Workflow placeholder 替换四类路径。","已完成","未开始","未开始","未提交","","Services/QuickAskService.swift:292;Core/LLM/LLMPipeline.swift:192;Core/LLM/LLMPipeline.swift:227;Core/LLM/LLMPipeline.swift:267;Core/Workflow/WorkflowExecutor.swift:111","smell=string_protocol"
"TASTE-LLM-020","P1","1.1","backend","待Review","待Review","LLMSettings 配置域收敛","收敛 LLMSettings 中的默认值、防御性 ??、旧版配置迁移和 legacy API，减少配置读取路径里的特殊情况堆积。","1) LLMSettings 的初始化职责拆分为加载、迁移、运行态读取；2) 旧版 providerConfigs/profile migration 与当前配置读取不再混杂在一个 init 中；3) legacy API 保留则要有明确删除边界，不再继续扩散；4) 配置读取路径保持向后兼容；5) build/test/并发检查通过。","AUTOSERVER","配置模型重构 + 兼容性回归 + 构建验证。","1. 列出默认值、迁移逻辑和 legacy API；2. 抽离 migration/load helper；3. 保持 selectedProfile/currentProviderName/isFullyConfigured 语义稳定；4. 运行构建/测试/并发检查；5. 复核旧数据场景的默认值行为。","需要 UserDefaults/Keychain 逻辑不被破坏；本条不要求删除所有 legacy API，但要求边界清晰。","LLMSettings diff、兼容说明、构建与测试日志。","medium","不要把所有 optional/?? 都机械删除；只处理真正掩盖结构问题的配置路径。","复核默认 profile、旧数据迁移、API key consolidation、current provider 显示。","已完成","未开始","未开始","未提交","","Core/LLM/LLMSettings.swift:49;Core/LLM/LLMSettings.swift:257;Core/LLM/LLMSettings.swift:358;Core/LLM/LLMSettings.swift:581","smell=config_blob"
"TASTE-UI-010","P1","2","frontend","待Review","待Review","MessagePanel 视图边界收口","继续收敛 MessagePanelView / MessageCardView 对 SessionHistoryService、AddToDictionaryHandler、MessagePanelState 等 shared 直连，降低 View 直接承担业务动作。","1) MessagePanelView/MessageCardView 至少一组高频业务协作者改为注入或显式依赖；2) 粘贴图片、粘贴文本、关闭/清理、词典 sheet 等路径保持可用；3) Preview 或测试替身能力提升；4) 不改变现有卡片展示与交互行为；5) build/test/并发检查通过。","AUTOFRONTEND","UI 边界重构 + 交互回归 + 构建验证。","1. 盘点 MessagePanelView/MessageCardView 的 shared 依赖；2. 提取 view dependency / handler；3. 改写至少一组交互路径；4. 运行构建/测试/并发检查；5. 手动或静态复核卡片交互行为。","需要 MessagePanel 子视图与相关状态对象可编译；本条不要求全量去 shared。","视图 diff、交互说明、构建与门禁日志。","medium","优先处理最脏的粘贴/词典/历史依赖，不要在一轮里改完所有 MessagePanel 子组件。","复核 MessagePanel 打开、卡片 hover 操作、词典 sheet、清空/关闭路径。","已完成","未开始","未开始","未提交","","UI/MessagePanel/MessagePanelView.swift:110;UI/MessagePanel/MessagePanelView.swift:171;UI/MessagePanel/MessageCardView.swift:72;UI/MessagePanel/MessageCardView.swift:262","ui_direct_services"
"TASTE-UI-020","P1","2.1","frontend","待Review","待Review","QuickAsk / HUD 协作者注入扩面","在 QuickAskCapsuleView 与 QuickAskInputView 上继续收敛 WorkflowState、AttachmentManager、AppDelegate 直连，降低 HUD 视图的跨层副作用。","1) QuickAskCapsuleView / QuickAskInputView 的至少一组 shared 协作者改为可注入访问；2) Workflow 标签、附件拖拽/上传、打开设置、发送/取消交互保持可用；3) 输入面可在不依赖真实全局状态的情况下预览；4) 不影响 Quick Ask 发送主路径；5) build/test/并发检查通过。","AUTOFRONTEND","输入面重构 + 交互回归 + preview 替身验证。","1. 识别 WorkflowState.shared、AttachmentManager.shared、AppDelegate 打开设置路径；2. 抽离依赖对象或 action closures；3. 保持发送/取消/拖拽行为；4. 运行构建/测试/并发检查；5. 复核 workflow picker 与附件路径。","需要 QuickAskState、QuickAskHUDManager、WorkflowPickerView 可编译；可通过轻量 mock 验证。","视图 diff、preview/交互说明、构建与门禁日志。","medium","不要顺手重写整个 Quick Ask 子系统；优先切最常用的输入协作面。","复核录音中、发送中、workflow picker 打开、附件拖拽四种状态。","已完成","未开始","未开始","未提交","","UI/HUD/QuickAskCapsuleView.swift:9;UI/HUD/QuickAskCapsuleView.swift:42;UI/HUD/QuickAskInputView.swift:62;Services/QuickAskService.swift:140;Core/QuickAsk/QuickAskPromptAssembler.swift:1;Tests/QuickAskPromptAssemblerTests.swift:1","ui_direct_services|round2_quickask_prompt_runtime"
"TASTE-UI-030","P1","2.2","frontend","待Review","待Review","LiveCaption 交互副作用下沉","收敛 LiveCaptionView 中的查词、SelectionToolbar、滚动修正和 sleep 补丁式副作用，避免 View 直接操作多个全局状态对象。","1) handleTextSelected / handleWordClicked 等高副作用逻辑至少一组下沉到协作者或状态对象；2) 选中文本、查词结果、工具栏显示行为保持等价；3) 不再依赖“等待一帧再 show”这类 UI 补丁式时序作为主控制手段；4) build/test/并发检查通过。","AUTOFRONTEND","视图副作用重构 + 交互回归 + 构建验证。","1. 盘点 LiveCaptionView 的 shared 依赖与 sleep/DispatchQueue 补丁点；2. 抽离 selection/dictionary coordination；3. 保持滚动与查词体验；4. 运行构建/测试/并发检查；5. 对照字幕交互行为。","需要 LiveCaptionManager、SelectionToolbarState、SelectionToolbarManager、UnifiedDictionaryService 可编译。","视图 diff、行为说明、构建与门禁日志。","medium","不要在本条里顺手重写 VocabularyHighlightText；先处理 LiveCaptionView 自己的副作用边界。","复核文本选中、单词点击、滚动触发、字幕展开/折叠路径。","已完成","未开始","未开始","未提交","","UI/LiveCaption/LiveCaptionView.swift:173;UI/LiveCaption/LiveCaptionView.swift:413;UI/LiveCaption/LiveCaptionView.swift:429","smell=view_side_effects"
"TASTE-UI-040","P1","2.3","frontend","待Review","待Review","SelectionToolbar 菜单与动作解耦","收敛 SelectionToolbarView 中对 ToolbarConfigService、SelectionToolbarManager 和 NotificationCenter 的直接耦合，并清理 deprecated 空壳按钮。","1) 菜单构建、动作 dispatch、窗口控制至少拆出一层依赖边界；2) ToolbarButton 空壳 deprecated 视图被删除或迁移到可转发实现；3) open settings / discover more skills / disable toolbar 行为保持可用；4) build/test/并发检查通过。","AUTOFRONTEND","菜单动作重构 + 交互回归 + 构建验证。","1. 识别菜单构建与共享状态直连点；2. 抽出 action dispatcher 或 dependency；3. 处理 deprecated ToolbarButton；4. 运行构建/测试/并发检查；5. 验证菜单动作与自动隐藏行为。","需要 SelectionToolbarState、ToolbarConfigService、SelectionToolbarManager、ToolbarMenuActionHandler 可编译。","视图 diff、行为验证说明、构建与门禁日志。","medium","不要扩大到整个 SelectionToolbarManager 重写；先把 View 的跨层耦合降下来。","复核菜单弹出、执行动作、打开设置、禁用工具栏、hover 自动隐藏。","已完成","未开始","未开始","未提交","","UI/SelectionToolbar/SelectionToolbarView.swift:7;UI/SelectionToolbar/SelectionToolbarView.swift:147;UI/SelectionToolbar/SelectionToolbarView.swift:241;Services/SelectionToolbarManager.swift:160","ui_direct_services"
