id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,labels,project_progress,test_plan,test_steps,test_dependencies,test_evidence,test_risk
DOCSOPT-000,P1,1,both,盘点 docs 入口与资产,梳理 docs/ 与 docs/memo 的主入口、设计文档、路线图与合规矩阵，形成明确入口清单。,mind/implementation-map 中存在入口清单且包含 roadmap/design/compliance 等核心文档，并使用 path:line。,AUTOE2E,入口清单可覆盖核心文档且无重复/缺失；引用格式为 path:line。,抽检入口清单 5 条引用均可定位到目标文件。,已完成,已完成,已完成,已提交,,plan/2025-12-26_08-06-45-docs-optimization.md:18,picked_reason:优先盘点入口与资产以便后续引用与索引统一 | done_at:2025-12-26; evidence:docs/memo/mind.md:35;docs/memo/implementation-map.md:98; commit:batch | test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
DOCSOPT-010,P1,2,both,统一引用格式与路径,将本轮涉及文档引用统一为 path:line，标注未实现文件并修正过期路径。,本轮修订的引用全部为 path:line；未实现文件明确标注；无过期路径残留。,AUTOE2E,不引入新文档树结构；引用仅做规范化与修正。,抽检 10 条引用可跳转到对应文件与合理行号。,已完成,已完成,已完成,已提交,,plan/2025-12-26_08-06-45-docs-optimization.md:19,picked_reason:延续入口盘点后优先统一引用规范 | done_at:2025-12-26; evidence:docs/memo/cards.md:11;docs/memo/implementation-map.md:100; notes:docs/memo/plan/* contains historical command snippets without line refs (left as-is); commit:batch | test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
DOCSOPT-020,P1,3,both,完善索引与导航,补强 docs/memo/mind.md 与 docs/memo/implementation-map.md 的入口/索引/链路说明。,mind 与 implementation-map 互相可跳转，且链路入口可直达关键实现。,AUTOE2E,索引结构清晰、冗余最少；入口描述保持一致口径。,抽检 5 条链路引用可从索引到实现文件。,已完成,已完成,已完成,已提交,,plan/2025-12-26_08-06-45-docs-optimization.md:20,picked_reason:索引与导航是 docs 结构的主入口 | done_at:2025-12-26; evidence:docs/memo/mind.md:35;docs/memo/implementation-map.md:98; commit:batch | test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
DOCSOPT-030,P1,4,both,校验状态一致性,对照 roadmap、memory.csv、implementation-map 的完成度并标注冲突与优先级。,状态冲突已被标注且记录优先级，文档间不再出现互相矛盾的完成度描述。,AUTOE2E,状态口径以实现为准；冲突需留痕。,抽检 3 个功能条目在 roadmap 与 implementation-map 状态一致。,已完成,已完成,已完成,已提交,,plan/2025-12-26_08-06-45-docs-optimization.md:21,picked_reason:优先消除 roadmap 与实现状态不一致 | done_at:2025-12-26; evidence:docs/roadmap.md:25;docs/memo/implementation-map.md:54; commit:batch | test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
DOCSOPT-040,P2,5,both,更新记忆与时间线,将本轮 docs 变更记录到 memory.csv 与 memory-timeline.md，保证审计可追溯。,memory.csv 新增记录；memory-timeline.md 新增对应条目。,AUTOE2E,记录信息包含文件与意图，引用格式正确。,抽检新增记录可回溯到相关文档。,已完成,已完成,已完成,已提交,,plan/2025-12-26_08-06-45-docs-optimization.md:22,picked_reason:保持变更可追溯性 | done_at:2025-12-26; evidence:docs/memo/memory.csv:255;docs/memo/memory-timeline.md:7; commit:batch | test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
DOCSOPT-050,P2,6,both,复核抽检与质量门禁,抽检关键链路与引用可达性，确认未引入破坏性结构调整。,抽检 10-20 条引用可直达实现位置且行号合理；未发现结构性破坏。,AUTOE2E,优先抽检核心链路与高频入口。,回归抽检覆盖索引、设计文档与路线图引用。,已完成,已完成,已完成,已提交,,plan/2025-12-26_08-06-45-docs-optimization.md:23,picked_reason:抽检质量门禁确保引用可达 | done_at:2025-12-26; evidence:docs/memo/implementation-map.md:17;docs/memo/memory-timeline.md:114; validation:sampled 10 refs from implementation-map+timeline; commit:batch | test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
DOCSOPT-060,P2,7,both,补充维护指南/清单,产出“如何持续维护 docs”的简短指南或 checklist 并挂入口。,维护指南/清单已落盘并在入口文档中可跳转。,AUTOE2E,指南内容简短、可执行；避免冗余流程。,抽检指南入口可跳转并含 path:line 引用规则。,已完成,已完成,已完成,已提交,,plan/2025-12-26_08-06-45-docs-optimization.md:24,picked_reason:补齐持续维护入口防止文档漂移 | done_at:2025-12-26; evidence:docs/memo/docs-maintenance.md:1;docs/memo/mind.md:35;docs/memo/implementation-map.md:100; commit:batch | test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
DOCS-010,P1,1,both,文档索引规则与入口清单,定义 docs/memo 主文档索引与维护规则，明确 mind/memory/roadmap 的角色与入口。,docs/memo 内新增索引与维护规则区块，列出主文档入口与职责，且无占位符。,AUTOE2E,确保索引与维护规则可执行；明确 mind vs roadmap 的信息边界。,复查索引规则与现有 memo 兼容，避免破坏原有结构或重复条目。,已完成,已完成,已完成,已提交,,plan/2025-12-26_07-04-49-docs-memo-architecture-status.md:17;docs/memo/mind.md:35;docs/memo/mind.md:45;docs/memo/implementation-map.md:7;docs/memo/docs-maintenance.md:1,test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26 | picked_reason:优先从待Review中收敛一条半成品以减少悬挂 | done_at:2025-12-26 | evidence:docs/memo/mind.md:35;docs/memo/implementation-map.md:7,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,docs/memo/mind.md:35;docs/memo/mind.md:45;docs/memo/implementation-map.md:7;docs/memo/docs-maintenance.md:1,low: 文档改动为主，运行风险低
DOCS-020,P1,2,both,核心功能矩阵化,为核心功能建立功能->代码入口->链路->状态->计划的统一结构。,覆盖核心链路（录音/转录/LLM/输出/历史等），每项至少包含 1 个代码入口与 1 条链路描述。,AUTOE2E,避免泛化描述，引用路径需可跳转；统一状态标记。,抽查功能矩阵与代码/roadmap 一致，确保无明显遗漏或冲突。,已完成,已完成,已完成,已提交,,plan/2025-12-26_07-04-49-docs-memo-architecture-status.md:18;docs/memo/implementation-map.md:21;docs/memo/implementation-map.md:44;docs/memo/implementation-map.md:62,test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26 | picked_reason:继续收敛待Review项以完成批次闭环 | done_at:2025-12-26 | evidence:docs/memo/implementation-map.md:21;docs/memo/implementation-map.md:44,已完成,已完成,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,docs/memo/implementation-map.md:21;docs/memo/implementation-map.md:44;docs/memo/implementation-map.md:62,low: 文档改动为主，运行风险低
DOCS-030,P1,3,both,跨模块链路梳理,补充录音、转录、LLM、输出、历史等跨模块链路描述。,链路描述可追踪到模块/文件，且可独立理解整体流程。,AUTOE2E,链路描述保持简洁，避免重复堆叠设计背景。,核对链路与现有设计文档一致，避免自相矛盾。,已完成,未开始,未开始,未提交,,plan/2025-12-26_07-04-49-docs-memo-architecture-status.md:19,test_plan_inferred | risk:low docs-only validation | schema_migrated:2025-12-26,待Review,待Review,按验收口径抽检引用与路径有效性（area=both）,1) 按 acceptance_criteria 抽检引用是否为 path:line 且可定位 2) 若 refs 提供入口文件，逐条检查跳转有效性,需可读取 docs/ 与 docs/memo/ 目录,pending,low: 文档改动为主，运行风险低
